Secteur,trimestre,code_region,code_dep,nombre_creation,Quartile_MOY,Quartile_CV
Activites de services administratifs et de soutien,2020,52,44,208,3,4
Activites de services administratifs et de soutien,2020,52,49,103,3,4
Activites de services administratifs et de soutien,2020,52,53,41,3,4
Activites de services administratifs et de soutien,2020,52,72,51,3,4
Activites de services administratifs et de soutien,2020,52,85,140,3,4
Activites de services administratifs et de soutien,2020,52,44,2,3,4
Activites de services administratifs et de soutien,2020,53,22,72,3,4
Activites de services administratifs et de soutien,2020,53,29,111,3,4
Activites de services administratifs et de soutien,2020,53,35,170,3,4
Activites de services administratifs et de soutien,2020,53,56,128,3,4
Activites de services administratifs et de soutien,2020,75,16,109,3,4
Activites de services administratifs et de soutien,2020,75,17,162,3,4
Activites de services administratifs et de soutien,2020,75,19,78,3,4
Activites de services administratifs et de soutien,2020,75,23,29,3,4
Activites de services administratifs et de soutien,2020,75,24,124,3,4
Activites de services administratifs et de soutien,2020,75,33,378,3,4
Activites de services administratifs et de soutien,2020,75,40,129,3,4
Activites de services administratifs et de soutien,2020,75,47,67,3,4
Activites de services administratifs et de soutien,2020,75,64,123,3,4
Activites de services administratifs et de soutien,2020,75,79,48,3,4
Activites de services administratifs et de soutien,2020,75,86,81,3,4
Activites de services administratifs et de soutien,2020,75,87,65,3,4
Activites de services administratifs et de soutien,2020,76,9,89,3,4
Activites de services administratifs et de soutien,2020,76,11,156,3,4
Activites de services administratifs et de soutien,2020,76,12,39,3,4
Activites de services administratifs et de soutien,2020,76,30,210,3,4
Activites de services administratifs et de soutien,2020,76,31,325,3,4
Activites de services administratifs et de soutien,2020,76,32,95,3,4
Activites de services administratifs et de soutien,2020,76,34,273,3,4
Activites de services administratifs et de soutien,2020,76,46,50,3,4
Activites de services administratifs et de soutien,2020,76,48,6,3,4
Activites de services administratifs et de soutien,2020,76,65,77,3,4
Activites de services administratifs et de soutien,2020,76,66,102,3,4
Activites de services administratifs et de soutien,2020,76,81,96,3,4
Activites de services administratifs et de soutien,2020,76,82,73,3,4
Activites de services administratifs et de soutien,2020,84,1,130,3,4
Activites de services administratifs et de soutien,2020,84,3,59,3,4
Activites de services administratifs et de soutien,2020,84,7,92,3,4
Activites de services administratifs et de soutien,2020,84,15,39,3,4
Activites de services administratifs et de soutien,2020,84,26,105,3,4
Activites de services administratifs et de soutien,2020,84,38,277,3,4
Activites de services administratifs et de soutien,2020,84,42,143,3,4
Activites de services administratifs et de soutien,2020,84,43,42,3,4
Activites de services administratifs et de soutien,2020,84,63,80,3,4
Activites de services administratifs et de soutien,2020,84,69,494,3,4
Activites de services administratifs et de soutien,2020,84,73,147,3,4
Activites de services administratifs et de soutien,2020,84,74,188,3,4
Activites de services administratifs et de soutien,2020,93,4,41,3,4
Activites de services administratifs et de soutien,2020,93,5,36,3,4
Activites de services administratifs et de soutien,2020,93,6,432,3,4
Activites de services administratifs et de soutien,2020,93,13,501,3,4
Activites de services administratifs et de soutien,2020,93,83,354,3,4
Activites de services administratifs et de soutien,2020,93,84,138,3,4
Activites de services administratifs et de soutien,2020,94,2A,47,3,4
Activites de services administratifs et de soutien,2020,94,2B,52,3,4
Activites de services administratifs et de soutien,2021,1,971,389,3,4
Activites de services administratifs et de soutien,2021,2,972,1072,3,4
Activites de services administratifs et de soutien,2021,3,973,85,3,4
Activites de services administratifs et de soutien,2021,4,974,246,3,4
Activites de services administratifs et de soutien,2021,6,976,30,3,4
Activites de services administratifs et de soutien,2021,11,75,1008,3,4
Activites de services administratifs et de soutien,2021,11,77,353,3,4
Activites de services administratifs et de soutien,2021,11,78,320,3,4
Activites de services administratifs et de soutien,2021,11,91,328,3,4
Activites de services administratifs et de soutien,2021,11,92,356,3,4
Activites de services administratifs et de soutien,2021,11,93,539,3,4
Activites de services administratifs et de soutien,2021,11,94,360,3,4
Activites de services administratifs et de soutien,2021,11,95,297,3,4
Activites de services administratifs et de soutien,2021,24,18,66,3,4
Activites de services administratifs et de soutien,2021,24,28,146,3,4
Activites de services administratifs et de soutien,2021,24,36,78,3,4
Activites de services administratifs et de soutien,2021,24,37,116,3,4
Activites de services administratifs et de soutien,2021,24,41,92,3,4
Activites de services administratifs et de soutien,2021,24,45,146,3,4
Activites de services administratifs et de soutien,2021,24,28,4,3,4
Activites de services administratifs et de soutien,2021,27,21,162,3,4
Activites de services administratifs et de soutien,2021,27,25,122,3,4
Activites de services administratifs et de soutien,2021,27,39,75,3,4
