Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,12022,2,972,1150
Activites de services administratifs et de soutien,12022,3,973,77
Activites de services administratifs et de soutien,12022,4,974,317
Activites de services administratifs et de soutien,12022,6,976,20
Activites de services administratifs et de soutien,12022,11,75,1131
Activites de services administratifs et de soutien,12022,11,77,483
Activites de services administratifs et de soutien,12022,11,78,320
Activites de services administratifs et de soutien,12022,11,91,365
Activites de services administratifs et de soutien,12022,11,92,388
Activites de services administratifs et de soutien,12022,11,93,602
Activites de services administratifs et de soutien,12022,11,94,345
Activites de services administratifs et de soutien,12022,11,95,319
Activites de services administratifs et de soutien,12022,24,18,101
Activites de services administratifs et de soutien,12022,24,28,173
Activites de services administratifs et de soutien,12022,24,36,75
Activites de services administratifs et de soutien,12022,24,37,171
Activites de services administratifs et de soutien,12022,24,41,98
Activites de services administratifs et de soutien,12022,24,45,177
Activites de services administratifs et de soutien,12022,24,28,1
Activites de services administratifs et de soutien,12022,27,21,168
Activites de services administratifs et de soutien,12022,27,25,140
Activites de services administratifs et de soutien,12022,27,39,113
Activites de services administratifs et de soutien,12022,27,58,68
Activites de services administratifs et de soutien,12022,27,70,154
Activites de services administratifs et de soutien,12022,27,71,169
Activites de services administratifs et de soutien,12022,27,89,107
Activites de services administratifs et de soutien,12022,27,90,40
Activites de services administratifs et de soutien,12022,28,14,219
Activites de services administratifs et de soutien,12022,28,27,159
Activites de services administratifs et de soutien,12022,28,50,175
Activites de services administratifs et de soutien,12022,28,61,97
Activites de services administratifs et de soutien,12022,28,76,252
Activites de services administratifs et de soutien,12022,28,14,1
Activites de services administratifs et de soutien,12022,32,2,114
Activites de services administratifs et de soutien,12022,32,59,464
Activites de services administratifs et de soutien,12022,32,60,257
Activites de services administratifs et de soutien,12022,32,62,266
Activites de services administratifs et de soutien,12022,32,80,144
Activites de services administratifs et de soutien,12022,32,62,2
Activites de services administratifs et de soutien,12022,44,8,87
Activites de services administratifs et de soutien,12022,44,10,69
Activites de services administratifs et de soutien,12022,44,51,185
Activites de services administratifs et de soutien,12022,44,52,53
Activites de services administratifs et de soutien,12022,44,54,169
Activites de services administratifs et de soutien,12022,44,55,26
Activites de services administratifs et de soutien,12022,44,57,221
Activites de services administratifs et de soutien,12022,44,67,315
Activites de services administratifs et de soutien,12022,44,68,159
Activites de services administratifs et de soutien,12022,44,88,116
Activites de services administratifs et de soutien,12022,52,44,393
