Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012019,75,023,28
Activites de services administratifs et de soutien,012019,75,024,130
Activites de services administratifs et de soutien,012019,75,033,370
Activites de services administratifs et de soutien,012019,75,040,129
Activites de services administratifs et de soutien,012019,75,047,63
Activites de services administratifs et de soutien,012019,75,064,131
Activites de services administratifs et de soutien,012019,75,079,47
Activites de services administratifs et de soutien,012019,75,086,72
Activites de services administratifs et de soutien,012019,75,087,54
Activites de services administratifs et de soutien,012019,75,40,1
Activites de services administratifs et de soutien,012019,76,009,40
Activites de services administratifs et de soutien,012019,76,011,128
Activites de services administratifs et de soutien,012019,76,012,61
Activites de services administratifs et de soutien,012019,76,030,195
Activites de services administratifs et de soutien,012019,76,031,307
Activites de services administratifs et de soutien,012019,76,032,82
Activites de services administratifs et de soutien,012019,76,034,265
Activites de services administratifs et de soutien,012019,76,046,30
Activites de services administratifs et de soutien,012019,76,048,10
Activites de services administratifs et de soutien,012019,76,065,73
Activites de services administratifs et de soutien,012019,76,066,101
Activites de services administratifs et de soutien,012019,76,081,81
Activites de services administratifs et de soutien,012019,76,082,49
Activites de services administratifs et de soutien,012019,84,001,144
Activites de services administratifs et de soutien,012019,84,003,58
Activites de services administratifs et de soutien,012019,84,007,65
Activites de services administratifs et de soutien,012019,84,015,37
Activites de services administratifs et de soutien,012019,84,026,78
Activites de services administratifs et de soutien,012019,84,038,264
Activites de services administratifs et de soutien,012019,84,042,131
Activites de services administratifs et de soutien,012019,84,043,36
Activites de services administratifs et de soutien,012019,84,063,92
Activites de services administratifs et de soutien,012019,84,069,466
Activites de services administratifs et de soutien,012019,84,073,116
Activites de services administratifs et de soutien,012019,84,074,162
Activites de services administratifs et de soutien,012019,93,004,64
Activites de services administratifs et de soutien,012019,93,005,38
Activites de services administratifs et de soutien,012019,93,006,443
Activites de services administratifs et de soutien,012019,93,013,478
Activites de services administratifs et de soutien,012019,93,083,341
Activites de services administratifs et de soutien,012019,93,084,132
Activites de services administratifs et de soutien,012019,94,2A,61
Activites de services administratifs et de soutien,012019,94,2B,51
Activites de services administratifs et de soutien,012020,01,971,309
Activites de services administratifs et de soutien,012020,02,972,661
Activites de services administratifs et de soutien,012020,03,973,43
Activites de services administratifs et de soutien,012020,04,974,363
Activites de services administratifs et de soutien,012020,06,976,18
Activites de services administratifs et de soutien,012020,11,075,730
Activites de services administratifs et de soutien,012020,11,077,287
Activites de services administratifs et de soutien,012020,11,078,273
Activites de services administratifs et de soutien,012020,11,091,215
Activites de services administratifs et de soutien,012020,11,092,300
Activites de services administratifs et de soutien,012020,11,093,408
Activites de services administratifs et de soutien,012020,11,094,255
Activites de services administratifs et de soutien,012020,11,095,226
Activites de services administratifs et de soutien,012020,24,018,54
Activites de services administratifs et de soutien,012020,24,028,108
Activites de services administratifs et de soutien,012020,24,036,65
Activites de services administratifs et de soutien,012020,24,037,64
Activites de services administratifs et de soutien,012020,24,041,72
Activites de services administratifs et de soutien,012020,24,045,117
Activites de services administratifs et de soutien,012020,24,28,1
Activites de services administratifs et de soutien,012020,27,021,97
Activites de services administratifs et de soutien,012020,27,025,90
Activites de services administratifs et de soutien,012020,27,039,58
Activites de services administratifs et de soutien,012020,27,058,50
Activites de services administratifs et de soutien,012020,27,070,77
Activites de services administratifs et de soutien,012020,27,071,114
Activites de services administratifs et de soutien,012020,27,089,64
Activites de services administratifs et de soutien,012020,27,090,28
Activites de services administratifs et de soutien,012020,28,014,127
Activites de services administratifs et de soutien,012020,28,027,81
Activites de services administratifs et de soutien,012020,28,050,103
Activites de services administratifs et de soutien,012020,28,061,65
Activites de services administratifs et de soutien,012020,28,076,181
Activites de services administratifs et de soutien,012020,32,002,97
Activites de services administratifs et de soutien,012020,32,059,264
Activites de services administratifs et de soutien,012020,32,060,179
Activites de services administratifs et de soutien,012020,32,062,176
Activites de services administratifs et de soutien,012020,32,080,75
Activites de services administratifs et de soutien,012020,44,008,51
Activites de services administratifs et de soutien,012020,44,010,47
Activites de services administratifs et de soutien,012020,44,051,93
Activites de services administratifs et de soutien,012020,44,052,38
Activites de services administratifs et de soutien,012020,44,054,108
Activites de services administratifs et de soutien,012020,44,055,27
Activites de services administratifs et de soutien,012020,44,057,127
Activites de services administratifs et de soutien,012020,44,067,160
Activites de services administratifs et de soutien,012020,44,068,92
Activites de services administratifs et de soutien,012020,44,088,76
Activites de services administratifs et de soutien,012020,52,044,208
Activites de services administratifs et de soutien,012020,52,049,103
Activites de services administratifs et de soutien,012020,52,053,41
Activites de services administratifs et de soutien,012020,52,072,51
Activites de services administratifs et de soutien,012020,52,085,140
Activites de services administratifs et de soutien,012020,52,44,2
Activites de services administratifs et de soutien,012020,53,022,72
Activites de services administratifs et de soutien,012020,53,029,111
Activites de services administratifs et de soutien,012020,53,035,170
Activites de services administratifs et de soutien,012020,53,056,128
Activites de services administratifs et de soutien,012020,75,016,109
Activites de services administratifs et de soutien,012020,75,017,162
Activites de services administratifs et de soutien,012020,75,019,78
Activites de services administratifs et de soutien,012020,75,023,29
Activites de services administratifs et de soutien,012020,75,024,124
